player,game_number,bet,payout,lifestyle_bonus,total_payout,lifestyle_bonuses,total_return,available_bank,cards_drawn,draw_order,card_stack,suit_counts,life,wild,death,super_death,longest_suit_count,simulation_payout,simulation_return,simulation_bank
p10,9,10,0.0,0.0,-1.0,0,-10.0,100033.0,1,['death8'],"{'suits': {1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: ['death8'], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0}",0,0,1,0,1,-1.0,-10.0,100091.0
p20,9,20,0.0,0.0,-1.0,0,-20.0,100066.0,1,['death8'],"{'suits': {1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: ['death8'], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0}",0,0,1,0,1,-1.0,-20.0,100182.0
p50,9,50,0.0,0.0,-1.0,0,-50.0,100165.0,1,['death8'],"{'suits': {1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: ['death8'], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0}",0,0,1,0,1,-1.0,-50.0,100455.0
p100,9,100,0.0,0.0,-1.0,0,-100.0,100330.0,1,['death8'],"{'suits': {1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: ['death8'], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0}",0,0,1,0,1,-1.0,-100.0,100910.0
p250,9,250,0.0,0.0,-1.0,0,-250.0,100825.0,1,['death8'],"{'suits': {1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: ['death8'], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0}",0,0,1,0,1,-1.0,-250.0,102275.0
p10,10,10,0.0,0.0,-1.0,0,-10.0,100023.0,1,['death6'],"{'suits': {1: [], 2: [], 3: [], 4: [], 5: [], 6: ['death6'], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 1, 7: 0, 8: 0, 9: 0, 10: 0}",0,0,1,0,1,-1.0,-10.0,100081.0
p20,10,20,0.0,0.0,-1.0,0,-20.0,100046.0,1,['death6'],"{'suits': {1: [], 2: [], 3: [], 4: [], 5: [], 6: ['death6'], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 1, 7: 0, 8: 0, 9: 0, 10: 0}",0,0,1,0,1,-1.0,-20.0,100162.0
p50,10,50,0.0,0.0,-1.0,0,-50.0,100115.0,1,['death6'],"{'suits': {1: [], 2: [], 3: [], 4: [], 5: [], 6: ['death6'], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 1, 7: 0, 8: 0, 9: 0, 10: 0}",0,0,1,0,1,-1.0,-50.0,100405.0
p100,10,100,0.0,0.0,-1.0,0,-100.0,100230.0,1,['death6'],"{'suits': {1: [], 2: [], 3: [], 4: [], 5: [], 6: ['death6'], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 1, 7: 0, 8: 0, 9: 0, 10: 0}",0,0,1,0,1,-1.0,-100.0,100810.0
p250,10,250,0.0,0.0,-1.0,0,-250.0,100575.0,1,['death6'],"{'suits': {1: [], 2: [], 3: [], 4: [], 5: [], 6: ['death6'], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 1, 7: 0, 8: 0, 9: 0, 10: 0}",0,0,1,0,1,-1.0,-250.0,102025.0
