game_number,payout,lifestyle_bonus,total_payout,lifestyle_bonuses,cards_drawn,draw_order,card_stack,suit_counts,life,wild,death,super_death,longest_suit_count
5320,1.3,0.0,1.3,0,6,"['life2', 'life6', 'life3', 'super_life8', 'super_life4', 'death9']","{'suits': {1: [], 2: ['life2'], 3: ['life3'], 4: ['super_life4'], 5: [], 6: ['life6'], 7: [], 8: ['super_life8'], 9: ['death9'], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 1, 3: 1, 4: 1, 5: 0, 6: 1, 7: 0, 8: 1, 9: 1, 10: 0}",5,0,1,0,1
5321,1.5,0.6,2.1,2,7,"['life2', 'life10', 'life8', 'super_wild', 'life2', 'life7', 'death7']","{'suits': {1: [], 2: ['life2', 'life2', 'super_wild'], 3: [], 4: [], 5: [], 6: [], 7: ['life7', 'death7'], 8: ['life8'], 9: [], 10: ['life10']}, 'wilds': [], 'super_death': []}","{1: 0, 2: 3, 3: 0, 4: 0, 5: 0, 6: 0, 7: 2, 8: 1, 9: 0, 10: 1}",5,1,1,0,3
5322,0.0,0.0,0.0,0,1,['death9'],"{'suits': {1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: ['death9'], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 1, 10: 0}",0,0,1,0,1
5323,0.1,0.0,0.1,0,2,"['life2', 'death4']","{'suits': {1: [], 2: ['life2'], 3: [], 4: ['death4'], 5: [], 6: [], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 1, 3: 0, 4: 1, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}",1,0,1,0,1
5324,2.1,0.9,3.0,5,13,"['wild', 'life10', 'life7', 'super_life7', 'life3', 'super_life4', 'life5', 'life6', 'life4', 'life10', 'life5', 'life6', 'death9']","{'suits': {1: [], 2: [], 3: ['life3'], 4: ['super_life4', 'life4'], 5: ['life5', 'life5'], 6: ['life6', 'life6'], 7: ['life7', 'super_life7'], 8: [], 9: ['death9'], 10: ['life10', 'life10', 'wild']}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 1, 4: 2, 5: 2, 6: 2, 7: 2, 8: 0, 9: 1, 10: 3}",11,1,1,0,3
5325,0.0,0.0,0.0,0,1,['death5'],"{'suits': {1: [], 2: [], 3: [], 4: [], 5: ['death5'], 6: [], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}",0,0,1,0,1
5326,0.3,0.1,0.4,1,4,"['life3', 'life4', 'life9', 'death9']","{'suits': {1: [], 2: [], 3: ['life3'], 4: ['life4'], 5: [], 6: [], 7: [], 8: [], 9: ['life9', 'death9'], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 1, 4: 1, 5: 0, 6: 0, 7: 0, 8: 0, 9: 2, 10: 0}",3,0,1,0,2
5327,1.0,0.1,1.1,1,3,"['super_life4', 'super_life6', 'death6']","{'suits': {1: [], 2: [], 3: [], 4: ['super_life4'], 5: [], 6: ['super_life6', 'death6'], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 1, 5: 0, 6: 2, 7: 0, 8: 0, 9: 0, 10: 0}",2,0,1,0,2
5328,1.1,0.0,1.1,0,4,"['super_life4', 'super_life6', 'life5', 'death2']","{'suits': {1: [], 2: ['death2'], 3: [], 4: ['super_life4'], 5: ['life5'], 6: ['super_life6'], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 1, 3: 0, 4: 1, 5: 1, 6: 1, 7: 0, 8: 0, 9: 0, 10: 0}",3,0,1,0,1
5329,0.3,0.1,0.4,1,3,"['life7', 'wild', 'death3']","{'suits': {1: [], 2: [], 3: ['death3'], 4: [], 5: [], 6: [], 7: ['life7', 'wild'], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 1, 4: 0, 5: 0, 6: 0, 7: 2, 8: 0, 9: 0, 10: 0}",1,1,1,0,2
